"Type","Category","Month","Weekday","Hour","Reach","Impressions","EngagedUsers","Consumers","Consumptions"
"Photo",2,11,1,"6-11",2219,4545,287,220,329
"Photo",3,11,1,"0-5",4732,9303,607,352,518
"Photo",3,11,7,"6-11",2225,4239,310,216,289
"Photo",2,11,7,"0-5",2626,4943,316,213,299
"Photo",3,10,6,"6-11",3090,5744,391,257,360
"Photo",1,10,6,"0-5",1101,2548,324,287,2418
"Photo",2,10,5,"6-11",2819,5230,318,218,303
"Status",2,10,5,"0-5",12468,24917,2143,1966,2576
"Photo",1,10,4,"6-11",12776,21893,785,539,881
"Photo",1,10,4,"6-11",1357,2453,37,37,55
"Photo",2,10,4,"0-5",68896,104952,2624,1326,1952
"Photo",3,10,3,"6-11",1711,3174,288,245,339
"Photo",1,10,3,"0-5",1388,2544,224,219,931
"Photo",1,10,2,"6-11",2645,5472,357,315,482
"Photo",1,10,2,"0-5",70144,111745,3216,2628,4782
"Photo",3,10,1,"6-11",3674,7221,452,330,487
"Status",2,10,1,"0-5",9504,19556,1132,1032,1512
"Photo",3,10,7,"6-11",2426,4469,320,237,325
"Status",2,10,7,"0-5",13872,27468,2664,2570,3395
"Photo",1,10,6,"6-11",1673,3655,338,324,1619
"Photo",1,10,6,"6-11",1261,2158,37,37,49
"Photo",2,10,6,"0-5",2428,4510,311,238,323
"Photo",2,10,1,"0-5",2227,4070,369,314,430
"Photo",1,10,7,"12-17",1592,2749,370,356,414
"Photo",1,10,7,"12-17",813,1568,323,319,387
"Photo",1,10,7,"12-17",32208,57472,1810,1490,2286
"Photo",1,10,7,"6-11",729,1374,303,298,331
"Photo",1,10,7,"6-11",834,1570,399,392,510
"Photo",1,10,7,"6-11",786,1573,263,257,318
"Photo",1,10,7,"6-11",584,1029,273,271,308
"Status",2,10,7,"6-11",15816,30514,2733,2654,3289
"Photo",1,10,7,"6-11",619,1096,257,254,292
"Photo",1,10,7,"6-11",617,1071,229,223,265
"Photo",1,10,7,"6-11",677,1285,251,246,297
"Photo",1,10,7,"0-5",677,1240,236,228,264
"Photo",3,10,7,"0-5",3366,6647,474,345,495
"Photo",1,10,6,"12-17",747,1443,226,220,287
"Photo",1,10,6,"12-17",645,1117,195,192,224
"Photo",1,10,6,"12-17",754,1510,206,205,252
"Photo",1,10,6,"6-11",910,1673,207,201,247
"Photo",1,10,6,"6-11",3906,8239,868,863,2632
"Photo",1,10,6,"6-11",659,1158,199,194,239
"Photo",1,10,6,"6-11",652,1331,214,206,249
"Photo",1,10,6,"6-11",861,1565,214,192,239
"Photo",1,10,6,"0-5",3690,7659,424,388,644
"Link",1,10,5,"6-11",4664,9463,204,182,251
"Photo",1,10,5,"6-11",1080,2427,210,189,249
"Status",2,10,5,"0-5",8896,17202,1480,1426,1932
"Photo",1,10,4,"6-11",4018,8617,428,374,616
"Link",1,10,4,"0-5",68992,229733,1032,975,1345
"Status",3,10,3,"6-11",13152,25666,2543,2438,3179
"Status",2,10,3,"0-5",31136,59964,6164,5934,9237
"Photo",3,10,2,"6-11",16776,39549,714,440,720
"Photo",1,10,2,"0-5",50736,140432,1462,1450,8308
"Photo",1,10,1,"6-11",5324,11040,528,483,861
"Photo",3,10,1,"0-5",18120,44940,421,282,463
"Photo",3,10,7,"6-11",2291,3960,303,243,325
"Status",2,10,7,"0-5",10744,20691,1967,1877,2201
"Link",1,10,6,"6-11",3616,6887,111,90,118
"Photo",1,10,6,"0-5",39984,112830,2105,1921,3932
"Photo",2,10,5,"6-11",4010,7444,477,370,534
"Photo",2,10,5,"0-5",6564,12097,806,602,957
"Photo",1,10,4,"6-11",8612,20151,813,727,1390
"Photo",2,10,4,"0-5",5568,10282,746,545,867
"Photo",2,9,3,"6-11",1685,2999,322,295,424
"Photo",2,9,2,"6-11",3756,7094,469,408,613
"Photo",3,9,2,"0-5",2656,4862,390,309,445
"Photo",2,9,1,"6-11",5086,9493,622,509,757
"Photo",2,9,1,"0-5",2055,3915,346,288,412
"Photo",3,9,7,"6-11",9384,14948,757,452,652
"Photo",2,9,7,"0-5",3992,7255,598,447,688
"Photo",3,9,6,"6-11",7512,13633,769,614,951
"Status",2,9,6,"0-5",11096,21080,1843,1724,2106
"Photo",1,9,5,"6-11",1060,2004,266,251,337
"Photo",2,9,5,"0-5",2790,4879,435,360,513
"Photo",1,9,4,"6-11",13856,37716,519,450,672
"Photo",3,9,4,"0-5",10748,19724,892,498,719
"Photo",1,9,3,"6-11",41984,68290,3370,2420,4074
"Photo",2,9,3,"0-5",2522,4583,455,390,547
"Photo",3,9,2,"6-11",4480,8039,572,430,599
"Photo",1,9,2,"0-5",1543,2874,360,334,463
"Status",2,9,1,"6-11",21256,41906,4840,4754,5906
"Photo",1,9,1,"0-5",4484,7829,545,424,629
"Photo",2,9,7,"0-5",4398,8105,584,446,669
"Status",2,9,6,"6-11",13216,24738,2675,2584,2969
"Photo",3,9,6,"0-5",22304,37159,1805,984,1618
"Photo",1,9,5,"6-11",6208,10830,644,473,678
"Photo",2,9,5,"0-5",4518,8533,626,482,729
"Photo",2,9,4,"6-11",3582,6518,537,430,597
"Status",2,9,4,"0-5",9124,17776,1476,1397,1797
"Photo",1,9,3,"6-11",14152,38806,631,549,836
"Photo",3,9,3,"0-5",4260,7989,588,435,622
"Video",1,9,2,"6-11",30624,56950,2080,1956,3253
"Photo",2,9,2,"0-5",2363,4223,393,348,476
"Photo",1,9,1,"6-11",2232,4005,374,335,458
"Photo",2,9,1,"6-11",4048,7217,544,405,602
"Photo",2,9,7,"6-11",1804,2968,330,280,352
"Photo",3,9,7,"0-5",2351,4028,371,298,392
"Photo",2,9,2,"6-11",3100,5388,518,422,609
"Photo",3,9,2,"0-5",2360,4004,436,365,486
"Photo",3,8,1,"6-11",19648,33643,1359,695,990
"Photo",2,8,1,"0-5",2295,3721,377,324,402
"Photo",2,8,7,"6-11",3934,6330,512,437,599
"Photo",1,8,7,"0-5",34512,76659,1666,1333,1977
"Photo",2,8,6,"6-11",5282,8730,703,530,772
"Photo",1,8,6,"6-11",1809,3130,399,359,494
"Photo",2,8,5,"12-17",1920,3124,365,331,428
"Photo",1,8,4,"6-11",1954,3530,356,333,443
"Photo",3,8,4,"6-11",33536,64850,1954,1016,1678
"Photo",2,8,4,"0-5",4204,7191,498,408,596
"Photo",1,8,3,"6-11",3376,6557,428,409,631
"Status",2,8,3,"0-5",9236,16054,1151,1130,1560
"Photo",3,8,2,"6-11",72864,205934,946,759,1158
"Photo",3,8,2,"0-5",3358,5682,394,323,523
"Photo",1,8,1,"12-17",3254,5644,371,344,513
"Photo",1,8,1,"0-5",50640,121234,2240,1577,2779
"Photo",2,8,7,"6-11",3734,6218,529,434,794
"Photo",3,8,7,"0-5",2594,4220,347,315,529
"Photo",2,8,6,"6-11",2232,3772,376,322,440
"Photo",3,8,6,"0-5",22120,54734,979,906,1751
"Photo",3,8,5,"6-11",7980,12978,630,398,521
"Photo",2,8,5,"0-5",1659,2845,345,321,424
"Photo",3,8,4,"6-11",1006,1594,277,268,354
"Photo",3,8,4,"0-5",12728,21685,844,461,683
"Photo",1,8,3,"6-11",28880,64746,1062,991,1971
"Photo",2,8,3,"0-5",1330,2327,363,351,433
"Status",2,8,2,"12-17",14424,26000,304,286,383
"Photo",1,8,2,"6-11",14200,26728,1393,1354,3214
"Photo",3,8,1,"12-17",5746,9874,769,632,1063
"Photo",2,8,1,"0-5",2540,4372,389,330,458
"Photo",3,8,7,"6-11",4324,7241,548,431,676
"Status",2,8,7,"0-5",8260,14305,997,953,1211
"Status",2,8,6,"6-11",20168,35904,3370,3244,5106
"Photo",1,8,6,"6-11",5046,9084,528,477,906
"Status",2,7,5,"12-17",15296,25269,2827,2781,3627
"Photo",3,7,5,"6-11",3414,6369,473,342,525
"Photo",1,7,4,"6-11",95424,252207,699,575,882
"Photo",2,7,4,"0-5",14824,21863,868,591,966
"Photo",2,7,3,"12-17",3504,5699,444,374,497
"Photo",3,7,2,"18-24",2822,5058,424,351,486
"Photo",3,7,2,"12-17",2973,5063,356,297,415
"Status",2,7,2,"6-11",10824,20573,135,126,153
"Photo",1,7,1,"6-11",4592,6691,320,289,423
"Photo",2,7,1,"0-5",3176,5278,372,319,577
"Status",2,7,7,"6-11",10956,19279,128,119,130
"Photo",3,7,7,"0-5",10888,19744,913,783,1370
"Photo",2,7,6,"6-11",3594,6316,424,354,530
"Photo",1,7,6,"0-5",3384,6166,451,395,561
"Photo",2,7,5,"6-11",4096,7200,487,406,723
"Photo",3,7,5,"0-5",19968,35161,1016,592,909
"Photo",1,7,4,"6-11",4892,8499,536,460,721
"Status",2,7,4,"6-11",17360,33613,2573,2448,6017
"Video",1,7,3,"6-11",21872,40413,3872,3822,7327
"Photo",1,7,2,"12-17",44464,66824,1052,930,1571
"Photo",2,7,2,"6-11",2881,5188,550,503,730
"Photo",2,7,1,"12-17",3460,6503,541,482,667
"Photo",3,7,1,"6-11",3406,5656,571,512,731
"Photo",2,7,7,"6-11",2602,4349,479,444,588
"Photo",1,7,7,"6-11",5848,9068,622,570,795
"Photo",1,7,6,"6-11",26944,43464,877,740,1097
"Photo",3,7,6,"0-5",5292,9321,756,646,1033
"Status",2,7,5,"12-17",15576,27513,2417,2327,3098
"Photo",3,7,5,"0-5",54256,82011,1620,963,1419
"Photo",2,7,4,"12-17",3726,6372,602,574,785
"Photo",1,7,4,"6-11",31904,50539,863,770,1106
"Photo",1,7,3,"12-17",40336,65309,1407,1330,2251
"Photo",2,7,3,"0-5",4220,7774,685,597,838
"Photo",3,7,2,"12-17",4666,8360,729,648,1014
"Photo",2,7,2,"6-11",4274,7948,701,638,1020
"Photo",1,7,1,"12-17",28208,41650,964,827,1237
"Photo",2,7,1,"0-5",3330,5461,513,478,652
"Photo",2,7,7,"6-11",3528,5918,550,513,787
"Photo",3,7,7,"0-5",38576,55398,1355,890,1328
"Photo",3,7,6,"12-17",2628,4264,528,503,652
"Photo",1,7,6,"0-5",7232,12735,758,700,1236
"Status",2,7,5,"6-11",10188,16978,1473,1441,2136
"Photo",1,7,5,"0-5",6408,11881,909,861,14974
"Photo",1,7,4,"6-11",3414,6050,515,493,710
"Photo",2,7,4,"0-5",53056,65260,2003,1412,2089
"Photo",1,7,3,"6-11",66976,111502,1191,1054,1641
"Photo",1,7,3,"0-5",76096,94644,2889,2495,4596
"Photo",3,7,4,"12-17",5458,9098,1007,933,1181
"Photo",2,7,4,"0-5",3706,6194,895,884,1173
"Status",2,7,3,"12-17",18320,31448,3742,3682,7854
"Photo",3,7,3,"0-5",2316,3611,722,716,862
"Video",1,6,2,"12-17",139008,277100,1779,1643,2356
"Photo",1,6,2,"6-11",5854,11854,1043,947,19779
"Photo",1,6,2,"0-5",109056,191324,2552,2457,4906
"Photo",2,6,1,"12-17",3212,4908,735,720,897
"Photo",2,6,1,"0-5",3046,4909,909,872,1147
"Status",2,6,7,"6-11",12044,20327,2240,2193,3599
"Photo",1,6,7,"0-5",9652,16968,1400,1381,2801
"Photo",1,6,6,"12-17",28112,47721,1631,1537,2438
"Status",2,6,6,"0-5",8628,14847,870,843,1692
"Photo",1,6,5,"6-11",2431,4180,389,383,7980
"Photo",1,6,4,"18-24",20560,24112,936,860,1126
"Photo",1,6,4,"12-17",20896,29062,1418,1038,2048
"Photo",1,6,4,"6-11",2402,4072,170,145,286
"Photo",1,6,4,"6-11",1729,3289,596,591,735
"Photo",2,6,4,"0-5",4320,7127,753,681,1021
"Photo",1,6,3,"6-11",2585,4410,569,560,781
"Photo",2,6,3,"0-5",3322,5969,610,569,852
"Photo",1,6,2,"12-17",3600,5807,691,656,913
"Photo",1,6,2,"0-5",11620,21564,1160,1138,2042
"Photo",3,6,1,"12-17",4248,7004,724,671,920
"Photo",3,6,1,"0-5",2763,4388,564,523,650
"Photo",2,6,7,"6-11",3558,5396,621,568,775
"Photo",1,6,7,"0-5",8324,14480,840,834,1388
"Photo",2,6,6,"6-11",6952,11469,909,779,1229
"Photo",3,6,6,"0-5",2823,4955,552,503,622
"Photo",1,6,5,"12-17",63840,102620,1382,1229,1871
"Photo",3,6,5,"0-5",11608,15323,985,705,940
"Photo",1,6,4,"12-17",58304,80871,884,715,1034
"Photo",3,6,4,"0-5",4762,8303,842,725,1014
"Photo",2,6,3,"12-17",6150,10217,750,676,969
"Photo",3,6,3,"0-5",4644,8178,768,683,1000
"Photo",3,6,2,"12-17",22464,29650,1029,934,1408
"Photo",3,6,2,"0-5",3754,6295,791,730,1072
"Photo",1,6,1,"12-17",4452,7998,666,658,948
"Photo",3,6,1,"0-5",3576,5525,664,618,870
"Photo",3,6,7,"6-11",3028,4794,579,548,740
"Photo",3,6,7,"0-5",4022,6503,647,616,995
"Photo",1,6,6,"12-17",52736,73584,1635,1622,2824
"Photo",3,6,6,"0-5",47376,70212,1557,1426,2051
"Photo",3,6,5,"12-17",3234,5113,756,724,937
"Photo",2,6,5,"0-5",3322,5553,702,656,863
"Photo",3,6,4,"12-17",6768,11525,768,672,930
"Photo",2,6,4,"0-5",11304,20647,1141,1065,1874
"Photo",1,6,3,"6-11",13544,18474,759,733,1082
"Photo",3,6,2,"12-17",3418,5659,581,546,770
"Photo",3,6,2,"0-5",3662,6476,560,522,677
"Photo",3,6,1,"6-11",56672,104966,2579,1334,1850
"Photo",3,6,1,"0-5",3294,5499,526,488,599
"Photo",3,6,1,"0-5",3110,5405,732,712,892
"Photo",2,5,7,"12-17",3806,6486,722,658,880
"Photo",3,5,5,"6-11",3776,6736,577,529,719
"Photo",3,5,4,"12-17",39040,55633,1684,1183,2123
"Photo",3,5,4,"0-5",4032,7278,684,607,848
"Photo",3,5,3,"12-17",21248,34095,1049,918,1438
"Photo",3,5,3,"0-5",4344,8025,692,626,872
"Photo",3,5,2,"12-17",2718,4698,566,528,663
"Photo",3,5,2,"0-5",3024,5630,596,560,721
"Status",2,5,1,"0-5",10152,17099,1636,1599,2755
"Photo",2,5,7,"0-5",4708,8090,678,594,889
"Photo",3,5,6,"12-17",2772,4642,526,479,604
"Photo",3,5,6,"6-11",2812,4954,536,485,672
"Photo",3,5,5,"6-11",6460,11373,823,706,1197
"Photo",1,5,4,"6-11",18056,32576,1062,875,1389
"Photo",3,5,4,"0-5",5016,8745,679,569,966
"Photo",3,5,3,"6-11",3528,6181,470,415,583
"Photo",2,5,2,"6-11",6444,11509,734,625,1157
"Photo",3,5,1,"12-17",4458,7753,491,432,676
"Link",1,5,1,"0-5",12540,19301,344,322,396
"Photo",3,5,7,"12-17",4362,7378,604,509,767
"Photo",3,5,7,"0-5",38960,65149,2298,1702,3000
"Photo",3,5,6,"12-17",3144,5067,392,356,507
"Photo",3,5,6,"6-11",4336,7705,574,484,847
"Photo",3,5,5,"12-17",81856,124753,3000,1637,2718
"Photo",2,5,5,"6-11",5728,10164,676,587,1049
"Photo",3,5,4,"12-17",5490,9518,647,555,847
"Status",1,5,4,"0-5",23832,42313,1701,1570,2838
"Photo",3,5,3,"6-11",18552,25542,1005,676,1021
"Photo",2,5,2,"12-17",4132,7165,552,495,713
"Photo",1,5,2,"6-11",4910,9209,625,561,869
"Photo",3,5,1,"12-17",4202,7633,562,481,730
"Photo",2,5,1,"0-5",5976,10441,689,544,833
"Photo",2,5,7,"12-17",5206,8962,565,492,878
"Photo",3,5,7,"0-5",6984,12066,780,631,1116
"Photo",1,5,6,"6-11",6000,10300,577,539,886
"Photo",3,5,6,"0-5",3332,5797,463,406,552
"Status",2,5,5,"6-11",9232,16811,908,861,1967
"Photo",3,4,4,"12-17",5212,9035,736,642,1005
"Photo",1,4,3,"12-17",24264,51899,1599,1485,3153
"Photo",3,4,3,"6-11",4280,7594,624,555,771
"Photo",3,4,2,"12-17",6692,11859,905,742,1165
"Photo",3,4,2,"0-5",5594,9586,739,670,1048
"Photo",1,4,1,"0-5",11336,15350,583,547,724
"Photo",2,4,7,"0-5",5582,9903,708,620,923
"Photo",1,4,6,"12-17",28352,55202,1476,1242,1990
"Status",2,4,6,"0-5",17912,34774,2750,2567,6591
"Link",1,4,5,"6-11",35360,45260,339,325,477
"Photo",1,4,5,"0-5",9084,15194,962,916,1897
"Photo",1,4,4,"12-17",6880,11736,671,639,889
"Photo",3,4,4,"6-11",12824,18929,830,623,864
"Photo",3,4,3,"6-11",6596,9835,564,526,678
"Photo",3,4,2,"12-17",7492,12414,838,713,1274
"Photo",1,4,2,"6-11",44288,60918,1215,1105,1746
"Photo",3,4,1,"12-17",105632,147918,3984,2254,3391
"Photo",1,4,7,"12-17",128064,251269,1539,1408,2506
"Photo",3,4,6,"18-24",5994,9970,964,838,1254
"Photo",1,4,6,"12-17",6172,10417,718,684,906
"Photo",3,4,6,"0-5",4986,8198,662,614,788
"Photo",1,4,5,"12-17",6668,10701,669,642,943
"Photo",3,4,5,"6-11",5298,8875,657,575,874
"Photo",1,4,4,"0-5",35008,45508,621,597,768
"Photo",1,4,3,"12-17",5402,8891,700,633,1078
"Photo",1,4,3,"6-11",9880,12695,524,497,658
"Photo",1,4,2,"12-17",3334,5953,584,565,842
"Photo",3,4,2,"0-5",3130,5313,522,495,616
"Photo",2,4,1,"12-17",32208,55696,1933,1367,2123
"Photo",1,4,1,"0-5",20920,26026,705,642,913
"Photo",3,4,7,"12-17",3884,6406,518,483,597
"Photo",3,4,7,"12-17",4240,7057,601,542,730
"Photo",1,4,6,"6-11",3544,6156,509,482,701
"Photo",3,4,6,"0-5",3286,6276,504,458,633
"Photo",1,4,5,"6-11",71360,110172,1784,1732,3383
"Photo",3,4,5,"0-5",3824,6333,666,627,822
"Photo",3,4,4,"12-17",6360,11079,715,631,1028
"Photo",3,4,4,"0-5",3714,6385,537,481,645
"Photo",1,4,3,"12-17",46192,80227,1364,1096,1697
"Photo",1,4,3,"0-5",39568,47128,741,652,957
"Link",1,4,2,"6-11",70912,94172,1374,1106,1267
"Photo",3,4,1,"0-5",4552,7253,471,444,569
"Photo",3,4,7,"6-11",4390,7004,484,453,602
"Photo",3,4,7,"0-5",4770,7716,494,455,632
"Photo",3,4,6,"6-11",2970,4649,421,390,544
"Link",1,4,6,"0-5",34192,42092,338,322,389
"Photo",2,4,5,"12-17",5302,8769,624,566,979
"Photo",2,4,5,"0-5",5560,9301,642,586,984
"Photo",3,4,4,"12-17",4406,6769,477,433,571
"Photo",1,4,4,"0-5",5290,8132,612,570,857
"Photo",1,3,5,"12-17",3696,5824,517,474,742
"Photo",1,3,4,"12-17",6030,9579,735,659,1448
"Photo",1,3,4,"6-11",49632,1110282,1653,1480,2567
"Status",1,3,3,"12-17",9120,14759,951,937,1290
"Photo",1,3,3,"6-11",1874,2474,25,25,31
"Photo",1,3,3,"6-11",4122,7073,466,455,609
"Photo",1,3,3,"0-5",5080,8238,523,505,727
"Photo",1,3,2,"12-17",4068,7333,538,513,934
"Photo",1,3,2,"0-5",3272,6079,463,446,653
"Photo",1,3,1,"18-24",238,570,143,142,834
"Photo",1,3,1,"18-24",3358,5900,541,507,4550
"Photo",1,3,1,"18-24",6400,11941,735,726,8415
"Link",3,3,1,"0-5",6876,10885,282,245,337
"Photo",1,3,7,"18-24",391,746,131,130,766
"Photo",1,3,7,"12-17",10844,22468,1409,1339,11064
"Photo",1,3,7,"12-17",5132,9067,398,398,1690
"Photo",1,3,7,"12-17",3772,6971,144,144,1033
"Link",1,3,7,"12-17",2933,5144,24,23,26
"Photo",1,3,7,"12-17",4094,7469,206,203,1420
"Photo",1,3,6,"12-17",452,726,186,184,889
"Photo",1,3,6,"12-17",11420,23855,1411,1342,8049
"Photo",1,3,6,"12-17",5704,10510,452,450,2895
"Photo",1,3,6,"12-17",7192,12811,587,554,3941
"Photo",1,3,6,"12-17",9604,16557,1061,1037,9614
"Photo",1,3,6,"6-11",122944,457509,1373,1268,2106
"Link",2,3,6,"6-11",5730,10083,103,71,97
"Photo",1,3,6,"0-5",4898,7960,560,528,719
"Photo",1,3,5,"6-11",4118,7355,546,526,675
"Photo",1,3,5,"0-5",1845,2670,9,9,9
"Photo",3,3,4,"12-17",34480,191207,1591,1156,1926
"Photo",3,3,2,"6-11",5338,9940,589,556,715
"Photo",2,3,2,"0-5",5312,9411,603,582,795
"Photo",1,3,1,"12-17",4412,8070,711,678,926
"Photo",1,3,1,"0-5",98816,125026,11452,11328,18115
"Photo",1,3,7,"6-11",7220,12735,2348,2300,3311
"Photo",1,3,7,"0-5",14320,21958,1850,1819,2170
"Photo",1,2,6,"12-17",27056,162816,2299,2127,2737
"Photo",1,2,6,"6-11",20528,33000,1876,1800,2654
"Photo",1,2,5,"12-17",6416,11459,1362,1313,1652
"Photo",1,2,5,"6-11",5786,10634,1237,1218,1526
"Photo",3,2,4,"12-17",5878,10508,1132,1087,1380
"Photo",3,2,4,"0-5",9528,16535,1383,1288,1834
"Photo",3,2,3,"12-17",8500,14157,1095,1029,1422
"Photo",1,2,3,"6-11",3796,6737,949,940,1192
"Photo",1,2,3,"6-11",28128,42940,2283,2190,3400
"Photo",3,2,2,"12-17",7228,12627,1239,1189,1612
"Photo",2,2,2,"0-5",5290,9100,1053,994,1326
"Photo",3,2,1,"12-17",55520,665792,4544,3586,6624
"Photo",1,2,1,"0-5",5880,10115,1291,1264,1878
"Photo",3,2,7,"12-17",10040,17029,1429,1346,2022
"Photo",3,2,7,"0-5",153536,497910,1713,1633,2493
"Photo",1,2,6,"12-17",158208,453213,2482,2319,3412
"Photo",3,2,6,"0-5",6484,10832,1166,1115,1441
"Photo",2,2,5,"12-17",4840,7466,949,923,1116
"Photo",2,2,5,"0-5",15880,51571,1188,1071,1410
"Photo",1,2,4,"12-17",15288,31467,1573,1401,2110
"Photo",3,2,4,"0-5",9528,16779,1245,1175,1725
"Link",1,2,3,"12-17",9356,14986,448,381,505
"Photo",3,2,3,"0-5",7732,13264,1066,1002,1336
"Photo",1,2,2,"12-17",5240,8893,857,837,1020
"Photo",3,2,2,"0-5",7132,12060,1004,944,1226
"Photo",1,2,1,"12-17",21928,39641,1512,1479,1837
"Photo",3,1,6,"12-17",5754,9238,1179,1143,1452
"Photo",1,1,6,"6-11",37088,10966,2728,2288,3183
"Link",1,1,6,"0-5",39600,7927,572,496,581
"Photo",3,1,5,"12-17",5536,8745,1141,1099,1461
"Photo",3,1,5,"0-5",6056,10325,1117,1078,1427
"Photo",2,1,4,"6-11",11484,20696,1762,1635,2741
"Link",1,1,4,"0-5",4938,7910,66,63,70
"Photo",3,1,3,"6-11",66784,9456,2969,2833,3645
"Photo",2,1,3,"0-5",5526,8779,1096,1058,1399
"Photo",3,1,2,"6-11",5040,8367,1062,1023,1348
